pharos_id,dataset_id,sample_id,animal_id,host_species,host_species_ncbi_tax_id,spatial_uncertainty,collection_date,collection_method_or_tissue,detection_method,primer_sequence,primer_citation,detection_target,detection_target_ncbi_tax_id,detection_outcome,detection_measurement,detection_measurement_units,pathogen,pathogen_ncbi_tax_id,genbank_accession,detection_comments,organism_sex,dead_or_alive,health_notes,life_stage,age,mass,length,latitude,longitude,wkt
prjDRDdtkMtWe-setAKoePEch9e-recFAEGsEvlG7,setAKoePEch9e,201,,Vulpes vulpes,9627,,2010-05-14,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.531628,13.280055,POINT(13.280055 52.531628)
prjDRDdtkMtWe-setAKoePEch9e-rec6EdChIEX79,setAKoePEch9e,202,,Vulpes vulpes,9627,,2010-05-18,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.496525,13.347893,POINT(13.347893 52.496525)
prjDRDdtkMtWe-setAKoePEch9e-recbF8Hj5e2Fm,setAKoePEch9e,203,,Vulpes vulpes,9627,,2010-05-28,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.394922,13.631583,POINT(13.631583 52.394922)
prjDRDdtkMtWe-setAKoePEch9e-recKvTSLUQct2,setAKoePEch9e,204,,Vulpes vulpes,9627,,2010-06-04,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.570804,13.39898,POINT(13.39898 52.570804)
prjDRDdtkMtWe-setAKoePEch9e-recfZdVa2OHnS,setAKoePEch9e,205,,Vulpes vulpes,9627,,2010-06-10,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.509354,13.403883,POINT(13.403883 52.509354)
prjDRDdtkMtWe-setAKoePEch9e-recdRufbZ17b8,setAKoePEch9e,206,,Vulpes vulpes,9627,,2010-06-20,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.397072,13.389208,POINT(13.389208 52.397072)
prjDRDdtkMtWe-setAKoePEch9e-recg31hvGL6y0,setAKoePEch9e,207,,Vulpes vulpes,9627,,2010-06-19,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.555816,13.575837,POINT(13.575837 52.555816)
prjDRDdtkMtWe-setAKoePEch9e-recnsk14FRrHg,setAKoePEch9e,208,,Vulpes vulpes,9627,,2010-06-23,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.421456,13.192698,POINT(13.192698 52.421456)
prjDRDdtkMtWe-setAKoePEch9e-recXNxwJQde0y,setAKoePEch9e,209,,Vulpes vulpes,9627,,2010-06-25,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.466634,13.288684,POINT(13.288684 52.466634)
prjDRDdtkMtWe-setAKoePEch9e-recFSZlws6mPa,setAKoePEch9e,211,,Vulpes vulpes,9627,,2010-07-27,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.449845,13.380719,POINT(13.380719 52.449845)
prjDRDdtkMtWe-setAKoePEch9e-recohPFlIGSRX,setAKoePEch9e,214,,Vulpes vulpes,9627,,2010-08-11,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.482652,13.350128,POINT(13.350128 52.482652)
prjDRDdtkMtWe-setAKoePEch9e-recCcfFHj4ArA,setAKoePEch9e,216,,Vulpes vulpes,9627,,2010-08-13,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.541102,13.384917,POINT(13.384917 52.541102)
prjDRDdtkMtWe-setAKoePEch9e-rec6flCHWnmDa,setAKoePEch9e,217,,Vulpes vulpes,9627,,2010-08-24,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.57684,13.486009,POINT(13.486009 52.57684)
prjDRDdtkMtWe-setAKoePEch9e-rec0WPj67fUxd,setAKoePEch9e,218,,Vulpes vulpes,9627,,2010-09-05,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.584156,13.343004,POINT(13.343004 52.584156)
prjDRDdtkMtWe-setAKoePEch9e-recAhCJD12RF5,setAKoePEch9e,219,,Vulpes vulpes,9627,,2010-09-03,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.455553,13.250501,POINT(13.250501 52.455553)
prjDRDdtkMtWe-setAKoePEch9e-recYQdiBnisX2,setAKoePEch9e,221,,Vulpes vulpes,9627,,2010-09-12,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.546472,13.490718,POINT(13.490718 52.546472)
prjDRDdtkMtWe-setAKoePEch9e-rec3M2u2wcTkW,setAKoePEch9e,222,,Vulpes vulpes,9627,,2010-09-23,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.559666,13.495844,POINT(13.495844 52.559666)
prjDRDdtkMtWe-setAKoePEch9e-recslphd4CBsT,setAKoePEch9e,223,,Vulpes vulpes,9627,,2010-10-02,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.432313,13.256652,POINT(13.256652 52.432313)
prjDRDdtkMtWe-setAKoePEch9e-recObotoxZ2v4,setAKoePEch9e,224,,Vulpes vulpes,9627,,2010-10-02,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.427397,13.554059,POINT(13.554059 52.427397)
prjDRDdtkMtWe-setAKoePEch9e-recfW4tA5IhsK,setAKoePEch9e,225,,Vulpes vulpes,9627,,2010-10-07,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.442024,13.315064,POINT(13.315064 52.442024)
prjDRDdtkMtWe-setAKoePEch9e-recXMR8tb2z3w,setAKoePEch9e,227,,Vulpes vulpes,9627,,2010-10-26,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,unknown,dead,,adult,,,,52.436989,13.380386,POINT(13.380386 52.436989)
prjDRDdtkMtWe-setAKoePEch9e-rec05eQ3G1ORs,setAKoePEch9e,228,,Vulpes vulpes,9627,,2010-10-27,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.538394,13.610157,POINT(13.610157 52.538394)
prjDRDdtkMtWe-setAKoePEch9e-recTu6Zwg36tx,setAKoePEch9e,229,,Vulpes vulpes,9627,,2010-10-29,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.552921,13.475702,POINT(13.475702 52.552921)
prjDRDdtkMtWe-setAKoePEch9e-recUxt4wWzvd2,setAKoePEch9e,230,,Vulpes vulpes,9627,,2010-11-06,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.557626,13.373227,POINT(13.373227 52.557626)
prjDRDdtkMtWe-setAKoePEch9e-recNQZch28wmq,setAKoePEch9e,231,,Vulpes vulpes,9627,,2010-11-08,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.533296,13.44171,POINT(13.44171 52.533296)
prjDRDdtkMtWe-setAKoePEch9e-rec9j9mJGjcJA,setAKoePEch9e,232,,Vulpes vulpes,9627,,2010-11-19,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.412121,13.586016,POINT(13.586016 52.412121)
prjDRDdtkMtWe-setAKoePEch9e-recRQ6jv0WIMp,setAKoePEch9e,233,,Vulpes vulpes,9627,,2010-11-19,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.433664,13.435773,POINT(13.435773 52.433664)
prjDRDdtkMtWe-setAKoePEch9e-recY0r3VxYU1y,setAKoePEch9e,234,,Vulpes vulpes,9627,,2010-11-24,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.575817,13.511887,POINT(13.511887 52.575817)
prjDRDdtkMtWe-setAKoePEch9e-rec1Ll9RPBu3k,setAKoePEch9e,235,,Vulpes vulpes,9627,,2010-11-27,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.494969,13.617532,POINT(13.617532 52.494969)
prjDRDdtkMtWe-setAKoePEch9e-rec4rs1XetsjJ,setAKoePEch9e,236,,Vulpes vulpes,9627,,2010-12-06,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.412121,13.586016,POINT(13.586016 52.412121)
prjDRDdtkMtWe-setAKoePEch9e-rec4MgZpId0sU,setAKoePEch9e,237,,Vulpes vulpes,9627,,2010-12-06,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.412121,13.586016,POINT(13.586016 52.412121)
prjDRDdtkMtWe-setAKoePEch9e-recEe4XJtm5pt,setAKoePEch9e,238,,Vulpes vulpes,9627,,2010-12-06,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.412121,13.586016,POINT(13.586016 52.412121)
prjDRDdtkMtWe-setAKoePEch9e-recEKo25fqEXS,setAKoePEch9e,239,,Vulpes vulpes,9627,,2010-12-06,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.556518,13.370149,POINT(13.370149 52.556518)
prjDRDdtkMtWe-setAKoePEch9e-recllZ0oZwXdX,setAKoePEch9e,240,,Vulpes vulpes,9627,,2011-01-10,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.521201,13.329141,POINT(13.329141 52.521201)
prjDRDdtkMtWe-setAKoePEch9e-recjmtXo7Viwv,setAKoePEch9e,241,,Vulpes vulpes,9627,,2011-01-19,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.528778,13.420575,POINT(13.420575 52.528778)
